"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","GDP per capita (current US$)","NY.GDP.PCAP.CD","935.460426850415","1031.8150043291","1087.8342434189","1167.00053244585","1269.41258289256","1374.53213986075","1486.96860600566","1569.66718289967","1677.67352804272","1825.38612552124","2058.76907922607","2380.97844333246","2924.04887110057","3890.72245647634","4630.7572070671","5285.62072414121","5678.38663782273","6810.6277286986","8205.46892702823","9793.76530724628","10869.5464236099","9385.24901832146","9410.34722457985","9537.40743056414","8991.06507601017","9172.09676880976","13083.0726978243","16392.7695665813","17578.6189397397","17468.9461918554","21680.9896863626","22410.9117362704","24880.164070125","24081.5278077646","25646.7006591684","30325.8495818396","29809.0767730821","26705.4785993891","27361.8751106437","27174.2971559775","24564.4582948404","24537.5142629883","26401.7454564357","32222.8972411655","36821.5214680093","38403.1338770715","40635.2818159724","46855.7717452095","51708.7657541758","47963.1794023217","46858.0432733717","51374.9584066934","48567.69528642","50719.3882770685","51733.4819170733","44255.5833562366","44757.6348988008","",
"Azerbaijan","AZE","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1237.324491677","1209.23749284959","676.15151145252","530.090379806798","436.19055858199","397.198116117247","409.216745216782","505.560573228931","561.910301735455","573.8902561721","655.097432602586","703.683843432722","763.073085847085","883.64399654717","1045.02162987002","1578.40239029603","2473.08577636837","3851.43786871172","5574.60380218613","4950.29479142375","5842.80578358576","7189.69122920765","7496.33572799679","7875.75695254288","7891.29977558849","5500.31038244408","3878.70925736637","",
"Burundi","BDI","GDP per capita (current US$)","NY.GDP.PCAP.CD","70.3490786064852","71.4872777291414","73.7817649496193","78.9002836003344","86.6031946364808","51.6573646771225","52.4767229561783","55.1316867125382","55.243404187824","56.0788814178728","70.2431270893069","72.1295529412513","69.6391925469869","85.0470001459123","95.413951050892","114.66358563208","119.90739092072","143.28912783689","155.917661842898","194.97538606952","223.407226181457","229.458186673044","233.817671036511","243.423806639733","215.944186275343","244.568937520968","248.210133926897","226.849715785079","210.750095890205","210.969520292236","209.051615161197","210.64387719953","191.310912981441","162.635224953531","157.543001456617","167.79917167617","143.853293287245","159.175528123232","144.474612191101","128.696439743929","135.998445465725","133.742768926491","122.433589296366","112.849370292195","127.429664803296","150.507043368766","165.87941756143","170.799900471753","196.247262831381","204.94465018984","231.194325649216","260.479907338153","265.285605131269","282.755525208188","312.748979387017","300.676556924016","285.727442064745","",
"Belgium","BEL","GDP per capita (current US$)","NY.GDP.PCAP.CD","1273.69165910289","1350.19767333123","1438.5232330684","1535.02372901043","1701.84627554319","1835.59476553194","1957.62608042762","2086.63600544654","2222.36151051913","2458.08182003773","2780.69618678327","3099.43015794539","3852.14172933289","4927.1959234948","5764.48988319245","6737.24825069324","7281.8177353643","8472.0544682791","10344.8471326448","11873.8354044821","12932.8605964577","10679.6638923607","9393.87669193076","8893.58613003995","8502.53859675867","8797.65967886135","12235.1841374482","15216.8710172156","16478.831592157","16613.516652258","20710.6443430806","21154.2918385501","23497.7274067423","22403.2168180008","24338.1377018161","28565.9191516066","27701.903287059","25027.7445890682","25541.6747233656","25444.1392583071","23207.4059110078","23121.6011440246","25052.3393900855","30743.9025377208","35589.6891168402","36967.2591839688","38852.3729277437","44403.7668991523","48424.5755963147","44880.5730196227","44380.1766327308","47702.8118941685","44740.5832481477","46582.6695503412","47379.1739168858","40375.3886393001","41271.4821478247","",
"Benin","BEN","GDP per capita (current US$)","NY.GDP.PCAP.CD","93.0225089907107","95.5721547147448","94.464534984382","99.8591138855553","104.339768039886","110.132793835113","112.940836383512","111.951601925237","116.89506602186","116.025094341185","114.556596466987","112.570089087637","134.819407935009","161.987373671434","174.014149085561","207.300439745473","208.656153830514","218.4543657692","263.581057550946","327.821677993792","378.043898303902","337.978194739187","322.77769945337","271.129240225224","252.869785044788","244.410998858469","303.348897858296","344.503070791789","346.736037681422","311.678303860821","393.686214423531","385.753616012638","317.962855286116","411.926030522283","279.666504326806","367.387341032599","387.432924636251","361.100269794441","379.442353954477","403.623703839155","374.192394159235","378.736053976421","418.698576347103","519.292284661195","583.409351430682","601.799976958875","625.830091976463","706.053541900699","820.151349819346","793.452430030705","757.695907409377","825.942785363215","837.950500075362","915.267458596353","943.686575031401","783.947090952422","789.440410685648","",
"Burkina Faso","BFA","GDP per capita (current US$)","NY.GDP.PCAP.CD","68.424748569325","71.558180092437","76.5206113987061","78.372071942432","80.4727667455189","81.7251154955019","82.5456368946943","84.3631649403545","84.7330493468762","86.5202111123235","81.4998986817011","84.2878150139644","99.3267640249866","113.780584338816","124.359030451525","152.728220114244","155.648997960296","176.783367666295","225.941652537233","262.076009642159","282.685735299595","254.230780675111","245.09470243903","217.994750842831","193.843240284709","200.8944225118","256.762318808596","291.131963880905","313.061891095721","304.853438781463","351.979322852536","346.410672442444","240.963480980403","244.127073499416","193.070236298833","235.832197299769","249.360294415648","229.493117735387","255.7182333817","265.340115553605","226.47598136698","235.491232436187","260.763541319743","332.344305065633","371.323086483012","406.998807060623","422.633237360208","475.110012184526","569.761278420206","552.745552106433","575.446452687734","666.840410055466","673.822818226635","699.781537016479","703.821656461717","575.314454176312","627.103078753299","",
"Bangladesh","BGD","GDP per capita (current US$)","NY.GDP.PCAP.CD","88.6912106294731","97.1427301802098","99.5767136535308","101.260491233893","99.5038642672935","105.789170343689","111.658639482303","121.662093380214","121.528897680862","133.575436746777","138.247964677775","131.755763179652","93.0248701122493","117.72581488208","179.045064975981","272.745197807152","138.592233931828","128.809261111467","172.414696039675","196.442625605373","222.632350948637","241.870369216672","215.393257600295","199.336645408325","208.534635084227","239.039220463711","227.423025568813","247.072311975068","263.222790451094","277.817839072227","297.567994452545","284.725599796572","285.095499369382","291.714495241784","290.652463953241","319.60869435593","382.935749258557","389.523624426251","395.297460669815","397.35482187218","405.603307141767","402.598115151563","400.613574533353","432.738897240785","460.75791673039","484.155407057992","494.050146576549","541.065148395087","615.777541053092","681.120536769049","757.671757176894","835.789340127412","856.342857027401","951.889453456343","1084.56542980269","1210.15876939761","1358.77902884543","",
"Bulgaria","BGR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","2238.80295786574","2234.81481573125","2169.00401089683","1852.81343442802","1963.57267618274","1914.55064658793","2260.4272811545","3132.30136036246","2511.39306259489","2477.0208179596","2366.52982128614","1267.73437541485","1211.98087810931","1278.24717346108","1148.4943993817","1554.04693051431","1208.85023311979","1346.91277031093","1771.99394273504","1643.6098949729","1609.2805861652","1764.90738653271","2087.53484250581","2710.46802357321","3381.50783656134","3893.68998049907","4513.13627954383","5932.89967659315","7261.75449200277","6969.55855668357","6843.26328885315","7813.80349946173","7378.02553944156","7674.86055914027","7853.33519086217","6993.47735975728","7469.02524680201","",
"Bahrain","BHR","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","8537.92937933215","9269.26961652991","9446.15800194601","9421.2856547764","9590.68309906509","8706.72508434699","7041.56947006168","7555.066809448","7958.67949196537","8030.85457978182","8528.98333446095","9055.59111405318","9082.74116884425","9698.13480360754","10130.41306842","10376.9348875001","10544.6671254851","10672.1839436858","10076.187784535","10401.4804488927","13636.3466837798","12868.2109970281","13102.3345682658","14221.9925934886","15846.4764093173","17959.1785373542","19307.9954920205","20977.1105261075","23067.5653465171","19356.6723557874","20722.1038895508","22512.1596038712","23649.3666139101","24737.1717830704","24983.3790153356","22688.8782442968","22579.0934203237","",
"Bahamas, The","BHS","GDP per capita (current US$)","NY.GDP.PCAP.CD","1550.32431495716","1651.47547707967","1752.97029278086","1867.11298751475","1994.54491964477","2144.83097135923","2322.94385308063","2556.83530087592","2804.70513080569","3215.48667199577","3179.27627155317","3297.99899921202","3322.6682561193","3696.66314026272","3416.55006239904","3156.46805942334","3328.63319198349","3617.25119348996","4130.75086967094","5532.15083093888","6338.61986793949","6622.68565804379","7165.13449097719","7694.93798487479","8873.76910201509","9888.48934964442","10339.5210156776","11150.6900362788","11381.8215599869","12158.078848834","12350.9768428937","11914.8577643653","11682.084964717","11402.651522136","11812.4648870041","12239.8714974121","12717.1500052856","17287.9360211869","18456.6089774529","20505.947433679","21241.23669811","21497.5209065268","22506.3511419764","22009.2004332596","21996.4064912596","23405.4530158026","23719.1078819641","24301.2432520857","23652.3305303491","22037.1080100097","21921.5590634977","21523.9737238384","28815.527404385","28303.4672887287","28374.3579411203","29056.0906632751","28785.4776705382","",
